13101,100  ,1000000,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,東京都,千代田区,以下に掲載がない場合,0,0,0,0,0,0
13101,100  ,1000011,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｳﾁｻｲﾜｲﾁｮｳ,東京都,千代田区,内幸町,0,0,1,0,0,0
13101,100  ,1000004,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁ(ﾂｷﾞﾉﾋﾞﾙｦﾉｿﾞｸ),東京都,千代田区,大手町（次のビルを除く）,0,0,1,0,0,0
13101,100  ,1006890,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(ﾁｶｲ･ｶｲｿｳﾌﾒｲ),東京都,千代田区,大手町ＪＡビル（地階・階層不明）,0,0,0,0,0,0
13101,100  ,1006801,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(1ｶｲ),東京都,千代田区,大手町ＪＡビル（１階）,0,0,0,0,0,0
13101,100  ,1006802,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(2ｶｲ),東京都,千代田区,大手町ＪＡビル（２階）,0,0,0,0,0,0
13101,100  ,1006803,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(3ｶｲ),東京都,千代田区,大手町ＪＡビル（３階）,0,0,0,0,0,0
13101,100  ,1006804,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(4ｶｲ),東京都,千代田区,大手町ＪＡビル（４階）,0,0,0,0,0,0
13101,100  ,1006805,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(5ｶｲ),東京都,千代田区,大手町ＪＡビル（５階）,0,0,0,0,0,0
13101,100  ,1006806,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(6ｶｲ),東京都,千代田区,大手町ＪＡビル（６階）,0,0,0,0,0,0
