13113,150  ,1500000,ﾄｳｷｮｳﾄ,ｼﾌﾞﾔｸ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,東京都,渋谷区,以下に掲載がない場合,0,0,0,0,0,0
13113,150  ,1500032,ﾄｳｷｮｳﾄ,ｼﾌﾞﾔｸ,ｳｸﾞｲｽﾀﾞﾆﾁｮｳ,東京都,渋谷区,鶯谷町,0,0,0,0,0,0
13113,150  ,1500042,ﾄｳｷｮｳﾄ,ｼﾌﾞﾔｸ,ｳﾀﾞｶﾞﾜﾁｮｳ,東京都,渋谷区,宇田川町,0,0,0,0,0,0
13113,150  ,1500013,ﾄｳｷｮｳﾄ,ｼﾌﾞﾔｸ,ｴﾋﾞｽ(ﾂｷﾞﾉﾋﾞﾙｦﾉｿﾞｸ),東京都,渋谷区,恵比寿（次のビルを除く）,0,0,1,0,0,0
13113,150  ,1506090,ﾄｳｷｮｳﾄ,ｼﾌﾞﾔｸ,ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(ﾁｶｲ･ｶｲｿｳﾌﾒｲ),東京都,渋谷区,恵比寿恵比寿ガーデンプレイス（地階・階層不明）,0,0,0,0,0,0
13113,150  ,1506001,ﾄｳｷｮｳﾄ,ｼﾌﾞﾔｸ,ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(1ｶｲ),東京都,渋谷区,恵比寿恵比寿ガーデンプレイス（１階）,0,0,0,0,0,0
13113,150  ,1506002,ﾄｳｷｮｳﾄ,ｼﾌﾞﾔｸ,ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(2ｶｲ),東京都,渋谷区,恵比寿恵比寿ガーデンプレイス（２階）,0,0,0,0,0,0
13113,150  ,1506003,ﾄｳｷｮｳﾄ,ｼﾌﾞﾔｸ,ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(3ｶｲ),東京都,渋谷区,恵比寿恵比寿ガーデンプレイス（３階）,0,0,0,0,0,0
13113,150  ,1506004,ﾄｳｷｮｳﾄ,ｼﾌﾞﾔｸ,ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(4ｶｲ),東京都,渋谷区,恵比寿恵比寿ガーデンプレイス（４階）,0,0,0,0,0,0
13113,150  ,1506005,ﾄｳｷｮｳﾄ,ｼﾌﾞﾔｸ,ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(5ｶｲ),東京都,渋谷区,恵比寿恵比寿ガーデンプレイス（５階）,0,0,0,0,0,0
13113,150  ,1506006,ﾄｳｷｮｳﾄ,ｼﾌﾞﾔｸ,ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(6ｶｲ),東京都,渋谷区,恵比寿恵比寿ガーデンプレイス（６階）,0,0,0,0,0,0
13113,150  ,1506007,ﾄｳｷｮｳﾄ,ｼﾌﾞﾔｸ,ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(7ｶｲ),東京都,渋谷区,恵比寿恵比寿ガーデンプレイス（７階）,0,0,0,0,0,0
13113,150  ,1506008,ﾄｳｷｮｳﾄ,ｼﾌﾞﾔｸ,ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(8ｶｲ),東京都,渋谷区,恵比寿恵比寿ガーデンプレイス（８階）,0,0,0,0,0,0
13113,150  ,1506009,ﾄｳｷｮｳﾄ,ｼﾌﾞﾔｸ,ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(9ｶｲ),東京都,渋谷区,恵比寿恵比寿ガーデンプレイス（９階）,0,0,0,0,0,0
13113,150  ,1506010,ﾄｳｷｮｳﾄ,ｼﾌﾞﾔｸ,ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(10ｶｲ),東京都,渋谷区,恵比寿恵比寿ガーデンプレイス（１０階）,0,0,0,0,0,0
13113,150  ,1506011,ﾄｳｷｮｳﾄ,ｼﾌﾞﾔｸ,ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(11ｶｲ),東京都,渋谷区,恵比寿恵比寿ガーデンプレイス（１１階）,0,0,0,0,0,0
13113,150  ,1506012,ﾄｳｷｮｳﾄ,ｼﾌﾞﾔｸ,ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(12ｶｲ),東京都,渋谷区,恵比寿恵比寿ガーデンプレイス（１２階）,0,0,0,0,0,0
13113,150  ,1506013,ﾄｳｷｮｳﾄ,ｼﾌﾞﾔｸ,ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(13ｶｲ),東京都,渋谷区,恵比寿恵比寿ガーデンプレイス（１３階）,0,0,0,0,0,0
13113,150  ,1506014,ﾄｳｷｮｳﾄ,ｼﾌﾞﾔｸ,ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(14ｶｲ),東京都,渋谷区,恵比寿恵比寿ガーデンプレイス（１４階）,0,0,0,0,0,0
13113,150  ,1506015,ﾄｳｷｮｳﾄ,ｼﾌﾞﾔｸ,ｴﾋﾞｽｴﾋﾞｽｶﾞｰﾃﾞﾝﾌﾟﾚｲｽ(15ｶｲ),東京都,渋谷区,恵比寿恵比寿ガーデンプレイス（１５階）,0,0,0,0,0,0
